Date,Open,High,Low,Close,Volume
2021-03-08,22.1294,22.2448,21.6368,21.9552,121550572
2021-03-09,21.8315,22.1464,21.4164,21.5703,143634605
2021-03-10,21.6035,22.1914,21.5004,22.1167,94737759
2021-03-11,22.1625,22.4998,22.0751,22.1253,61370109
2021-03-12,22.1664,22.3693,22.0034,22.1708,72230447
2021-03-15,22.121,22.1826,21.653,21.9182,73082136
2021-03-16,21.5543,21.5743,21.1604,21.2931,93373209
2021-03-17,21.231,21.5621,21.049,21.4588,77987835
2021-03-18,21.2685,21.3635,20.4074,20.4944,105357944
2021-03-19,20.4858,20.8377,20.221,20.4989,98050426
2021-03-22,20.4524,20.5299,20.2601,20.3019,71203149
2021-03-23,19.8922,20.4524,19.7667,20.005,123366031
2021-03-24,20.3108,20.7827,20.3108,20.5067,97585531
2021-03-25,20.1637,20.6414,19.8375,20.5819,96437353
2021-03-26,20.9546,21.1215,20.7157,21.0928,86489246
2021-03-29,20.9125,21.0214,20.5863,20.8417,56528269
2021-03-30,20.6282,20.8833,20.5067,20.6617,63827842
2021-03-31,20.6196,20.7118,20.438,20.5193,57498079
2021-04-01,20.6108,21.0506,20.5032,21.042,77751549
2021-04-05,21.0005,21.0048,20.4188,20.5404,63803958
2021-04-06,20.6414,20.9148,20.4524,20.4858,63667100
2021-04-07,20.4944,20.6617,20.4188,20.5571,59639490
2021-04-08,20.4109,20.4148,20.0548,20.2892,76229919
2021-04-09,20.2851,20.4613,20.0636,20.155,53046331
2021-04-12,20.3309,20.4774,19.9253,19.9967,46857222
2021-04-13,19.963,20.1261,19.8171,20.0173,53586492
2021-04-14,20.1931,20.8435,20.1725,20.574,79817710
2021-04-15,20.599,20.599,20.323,20.4064,59397479
2021-04-16,20.5571,20.6077,20.1572,20.2434,68366667
2021-04-19,20.2851,20.4336,20.0239,20.2224,48807739
2021-04-20,20.151,20.1809,19.4864,19.6872,86758580
2021-04-21,19.4365,20.0089,19.3441,19.9385,68130022
2021-04-22,20.0342,20.0414,19.6372,19.7036,59847742
2021-04-23,19.7208,19.9717,19.6036,19.8834,40531460
2021-04-26,19.8086,20.1682,19.8086,20.0173,42906868
2021-04-27,20.0929,20.3309,20.0011,20.2601,50530369
2021-04-28,20.4109,21.0381,20.3942,20.9589,78749110
2021-04-29,21.2599,21.4522,20.9335,21.1928,78950576
2021-04-30,20.892,21.1802,20.6108,20.6571,69956562
2021-05-03,20.8961,21.2804,20.8286,21.2266,54680037
2021-05-04,21.2685,21.4269,20.9966,21.2388,64455750
2021-05-05,21.5025,21.9892,21.5025,21.9247,56095693
2021-05-06,21.9207,22.0378,21.5126,22.0378,70185484
2021-05-07,21.8114,22.467,21.7326,22.4307,75548007
2021-05-10,22.711,23.0626,22.4228,22.4389,82483737
2021-05-11,21.9711,22.2854,21.6697,21.862,135721746
2021-05-12,21.9745,22.6148,21.8664,21.9671,98260729
2021-05-13,21.7033,22.1048,21.4063,21.699,95275217
2021-05-14,21.9374,22.456,21.9374,22.3725,68360272
2021-05-17,22.293,22.8996,22.2596,22.8907,80578337
2021-05-18,22.8575,22.9389,22.3179,22.3598,84202033
2021-05-19,21.8372,22.0506,21.4982,21.8039,105163395
2021-05-20,21.7952,21.8708,21.4607,21.7702,67570074
2021-05-21,21.9872,22.1398,21.7996,21.8157,60417835
2021-05-24,21.9671,22.0837,21.7208,22.0336,57406025
2021-05-25,21.9788,22.0378,21.5529,21.5862,58049320
2021-05-26,21.6067,21.8556,21.5069,21.7781,47285451
2021-05-27,21.8664,22.0624,21.6735,21.7952,46686590
2021-05-28,21.9164,21.9456,21.7199,21.8372,44388278
2021-06-01,22.268,22.7272,22.2554,22.6773,86754240
2021-06-02,22.8155,23.2087,22.5482,23.1002,81163292
2021-06-03,23.0041,23.2932,22.8575,23.1627,70246689
2021-06-04,23.3133,23.4138,22.9725,23.3178,62951035
2021-06-07,23.3133,23.4558,23.1838,23.2171,47902189
2021-06-08,23.1374,23.46,22.8619,23.4184,68801799
2021-06-09,23.4847,23.5853,23.2585,23.2712,67007709
2021-06-10,23.5853,23.6942,22.9958,23.2425,68563779
2021-06-11,23.3263,23.4558,23.1335,23.1627,45536516
2021-06-14,23.2467,23.3885,22.8741,23.0626,45122412
2021-06-15,23.2087,23.5625,23.1506,23.5017,76849612
2021-06-16,23.4642,23.65,23.1712,23.3762,72667090
2021-06-17,23.3178,23.5139,22.2757,22.5815,127843766
2021-06-18,22.1083,22.3886,21.8953,21.9124,136056957
2021-06-21,22.0939,22.8859,22.0939,22.8456,99836028
2021-06-22,22.7915,23.0867,22.5418,22.9983,57208627
2021-06-23,23.209,23.471,23.0194,23.0618,47988657
2021-06-24,23.1672,23.277,22.9428,23.2599,49413214
2021-06-25,23.3238,23.3955,23.1904,23.3829,45358017
2021-06-28,23.2813,23.294,22.4998,22.5924,77750006
2021-06-29,22.728,22.8545,22.453,22.4822,37762063
2021-06-30,22.5506,22.8286,22.529,22.7617,55658087
2021-07-01,23.2813,23.3531,22.9428,23.1589,55915594
2021-07-02,23.0618,23.1842,22.8632,23.1082,36059138
2021-07-06,23.0321,23.0739,22.2631,22.3558,80996371
2021-07-07,22.3223,22.529,21.747,21.9925,71976368
2021-07-08,21.604,22.0707,21.5279,21.866,58433913
2021-07-09,22.1464,22.3472,21.8864,22.331,60595084
2021-07-12,22.0768,22.4298,21.9207,22.2967,48935445
2021-07-13,22.1871,22.3266,21.9968,22.128,58915587
2021-07-14,22.1958,22.453,21.384,21.4684,79284229
